exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
bitkub,Bitkub,25,0.188972303155721229000000000000000000,90810522.7540183344501094,44,False,https://www.bitkub.com/,1732129388059
exmo,Exmo,26,0.171301560536017904000000000000000000,82318858.3780772847213523,116,False,https://www.exmo.com/,1732129385425
independentreserve,Independent Reserve,27,0.159684995871005626000000000000000000,76736525.4529907178199525,96,False,https://www.independentreserve.com/,1732129397799
pancake-42161-univ3,PANCAKE UNIV3 (Arbitrum),28,0.150484756501066752000000000000000000,72315356.1456675196658216,3,True,https://pancakeswap.finance/,1732129397834
uniswap-1-univ3,UNISWAP UNIV3 (Ethereum),29,0.128606313884425581000000000000000000,61801684.1530910435865487,2,True,https://uniswap.org/,1732129214817
bitbank,Bitbank,30,0.124518998377642359000000000000000000,59837527.2283287475141140,4,False,https://www.bibank.com,1732129386378
uniswap-8453-univ3,UNISWAP UNIV3 (Base),31,0.121286298095430071000000000000000000,58284055.1182235330989940,2,True,https://uniswap.org/,1732129382138
alterdice,Alterdice,32,0.102770281935811103000000000000000000,49386195.0683766317195511,1,False,https://alterdice.com/,1732129398792
bitso,Bitso,33,0.077129206951163190000000000000000000,37064392.4314468518338272,27,True,https://www.bitso.com/,1732129368495
pancake-8453-univ3,PANCAKE UNIV3 (Base),34,0.067175480933973569000000000000000000,32281135.5844029347485001,1,True,https://pancakeswap.finance/,1732129396498
itbit,Itbit,35,0.059561733601264435000000000000000000,28622354.0388841758000000,5,False,https://www.itbit.com/,1732129397937
indodax,Indodax,36,0.058446949051653421000000000000000000,28086645.0168860797885629,156,False,https://indodax.com/,1732129388493
luno,Luno,37,0.057899209513216880000000000000000000,27823429.1223458165097150,24,True,https://www.luno.com/,1732129386408
max-exchange,Max,38,0.052068698632708278000000000000000000,25021580.7448845407002529,22,False,https://max.maicoin.com/,1732129369396
binanceus,Binance.US,39,0.046735233392932365000000000000000000,22458587.3409499762950113,45,False,https://www.binance.us/,1732129369934
uniswap-10-univ3,UNISWAP UNIV3 (Optimism),40,0.034713592869499426000000000000000000,16681595.4640280152499177,2,True,https://uniswap.org/,1732129105688
